date,location,src,value
2020-03-05,San Francisco,trn,104.42
2020-03-06,San Francisco,trn,116.29
2020-03-07,San Francisco,trn,93.85
2020-03-08,San Francisco,trn,78.34
2020-03-09,San Francisco,trn,95.86
2020-03-10,San Francisco,trn,94.8
2020-03-11,San Francisco,trn,91.52
2020-03-12,San Francisco,trn,80.45
2020-03-13,San Francisco,trn,79.75
2020-03-14,San Francisco,trn,49.01
2020-03-15,San Francisco,trn,42.38
2020-03-16,San Francisco,trn,43.54
2020-03-17,San Francisco,trn,28.09
2020-03-18,San Francisco,trn,26.75
2020-03-19,San Francisco,trn,27.13
2020-03-20,San Francisco,trn,26.78
2020-03-21,San Francisco,trn,18.94
2020-03-22,San Francisco,trn,21.62
2020-03-23,San Francisco,trn,24.92
2020-03-24,San Francisco,trn,22.92
2020-03-25,San Francisco,trn,23.28
2020-03-26,San Francisco,trn,23.78
2020-03-27,San Francisco,trn,21.86
2020-03-28,San Francisco,trn,15.46
2020-03-29,San Francisco,trn,17.89
2020-03-30,San Francisco,trn,21.95
2020-03-31,San Francisco,trn,22.88
2020-04-01,San Francisco,trn,22.52
2020-04-02,San Francisco,trn,21.29
2020-04-03,San Francisco,trn,22.66
2020-04-04,San Francisco,trn,14.8
2020-04-05,San Francisco,trn,16.69
2020-04-06,San Francisco,trn,19.14
2020-04-07,San Francisco,trn,21.05
2020-04-08,San Francisco,trn,19.83
2020-04-09,San Francisco,trn,21.28
2020-04-10,San Francisco,trn,19.61
2020-04-11,San Francisco,trn,14.89
2020-04-12,San Francisco,trn,15.92
2020-04-13,San Francisco,trn,19.97
2020-04-14,San Francisco,trn,19.16
2020-04-15,San Francisco,trn,23.26
2020-04-16,San Francisco,trn,21.01
2020-04-17,San Francisco,trn,24.66
2020-04-18,San Francisco,trn,14.62
2020-04-19,San Francisco,trn,17.9
2020-04-20,San Francisco,trn,19.63
2020-04-21,San Francisco,trn,19.62
2020-04-22,San Francisco,trn,20.46
2020-04-23,San Francisco,trn,20.31
2020-04-24,San Francisco,trn,21.32
2020-04-25,San Francisco,trn,15.44
2020-04-26,San Francisco,trn,17.05
2020-04-27,San Francisco,trn,19.17
2020-04-28,San Francisco,trn,21.23
2020-04-29,San Francisco,trn,21.39
2020-04-30,San Francisco,trn,21.31
2020-05-01,San Francisco,trn,22.4
2020-05-02,San Francisco,trn,16.75
2020-05-03,San Francisco,trn,21.17
2020-05-04,San Francisco,trn,22.91
2020-05-05,San Francisco,trn,22.92
2020-05-06,San Francisco,trn,23.03
2020-05-07,San Francisco,trn,23.45
2020-05-08,San Francisco,trn,24.06
2020-05-09,San Francisco,trn,22.7
2020-05-10,San Francisco,trn,18.61
2020-05-11,San Francisco,trn,18.61
2020-05-12,San Francisco,trn,18.61
2020-05-13,San Francisco,trn,22.42
2020-05-14,San Francisco,trn,22.81
2020-05-15,San Francisco,trn,24.4
2020-05-16,San Francisco,trn,19.21
2020-05-17,San Francisco,trn,20.4
2020-05-18,San Francisco,trn,24.1
2020-05-19,San Francisco,trn,19.87
2020-05-20,San Francisco,trn,23.3
2020-05-21,San Francisco,trn,20.82
2020-05-22,San Francisco,trn,24.93
2020-05-23,San Francisco,trn,20.0
2020-05-24,San Francisco,trn,22.6
2020-05-25,San Francisco,trn,25.55
2020-05-26,San Francisco,trn,27.53
2020-05-27,San Francisco,trn,27.44
2020-05-28,San Francisco,trn,26.77
2020-05-29,San Francisco,trn,27.35
2020-05-30,San Francisco,trn,20.15
2020-05-31,San Francisco,trn,22.0
2020-06-01,San Francisco,trn,27.64
2020-06-02,San Francisco,trn,26.8
2020-06-03,San Francisco,trn,30.03
2020-06-04,San Francisco,trn,27.13
2020-06-05,San Francisco,trn,28.01
2020-06-06,San Francisco,trn,22.91
2020-06-07,San Francisco,trn,25.2
2020-06-08,San Francisco,trn,30.06
2020-06-09,San Francisco,trn,30.61
2020-06-10,San Francisco,trn,30.82
2020-06-11,San Francisco,trn,31.27
2020-06-12,San Francisco,trn,31.68
2020-06-13,San Francisco,trn,26.75
2020-06-14,San Francisco,trn,24.78
2020-06-15,San Francisco,trn,32.5
2020-06-16,San Francisco,trn,33.25
2020-06-17,San Francisco,trn,32.2
2020-06-18,San Francisco,trn,31.22
2020-06-19,San Francisco,trn,34.65
2020-06-20,San Francisco,trn,26.86
2020-06-21,San Francisco,trn,26.47
2020-06-22,San Francisco,trn,34.92
2020-06-23,San Francisco,trn,33.35
2020-06-24,San Francisco,trn,34.08
2020-06-25,San Francisco,trn,29.96
2020-06-26,San Francisco,trn,31.82
2020-06-27,San Francisco,trn,28.32
2020-06-28,San Francisco,trn,25.79
2020-06-29,San Francisco,trn,34.1
2020-06-30,San Francisco,trn,34.63
2020-07-01,San Francisco,trn,36.22
2020-07-02,San Francisco,trn,35.65
2020-07-03,San Francisco,trn,34.27
2020-07-04,San Francisco,trn,25.03
2020-07-05,San Francisco,trn,29.14
2020-07-06,San Francisco,trn,34.33
2020-07-07,San Francisco,trn,36.17
2020-07-08,San Francisco,trn,36.52
2020-07-09,San Francisco,trn,35.68
2020-07-10,San Francisco,trn,37.2
2020-07-11,San Francisco,trn,29.77
2020-07-12,San Francisco,trn,31.46
2020-07-13,San Francisco,trn,34.73
2020-07-14,San Francisco,trn,34.9
2020-07-15,San Francisco,trn,34.51
